city,area,parking_lot_name,day_of_week,time_of_day,is_weekend,is_holiday,weather_condition,temperature_c,traffic_density,distance_from_user_km,vehicle_type,base_price,dynamic_multiplier,final_price,event_nearby,total_slots,occupied_slots,free_slots,slots_free_in_15min,future_bookings_15min,availability_score
Pune,Kharadi,eon_it_park,Monday,13.07,0,0,Rainy,28.7,0.703,17.84,car,50.0,2.34,117.0,1,350,343,7,35,2,0.0244
Pune,Kharadi,eon_it_park,Saturday,10.77,1,0,Cloudy,25.9,0.789,10.47,car,50.0,1.0,50.0,0,350,136,214,226,87,0.4631
Pune,Magarpatta,seasons_mall,Wednesday,9.05,0,0,Clear,23.7,0.676,11.49,motorcycle,50.0,1.2,60.0,0,600,389,211,266,59,0.2349
Pune,Hadapsar,amanora_mall,Tuesday,6.08,0,0,Clear,20.3,0.193,21.68,scooter,50.0,0.8,40.0,0,800,64,736,741,314,0.98
Pune,Hadapsar,amanora_mall,Saturday,21.15,1,0,Clear,22.5,0.217,18.83,car,50.0,0.8,40.0,0,800,58,742,749,146,0.98
Pune,Hadapsar,amanora_mall,Monday,8.63,0,0,Cloudy,25.0,0.956,6.53,motorcycle,50.0,1.5,75.0,0,800,659,141,212,43,0.1649
Pune,Magarpatta,seasons_mall,Saturday,13.27,1,0,Cloudy,24.7,0.701,2.28,motorcycle,50.0,1.0,50.0,0,600,203,397,408,84,0.5308
Pune,Kharadi,kharadi_it_park,Sunday,13.38,1,0,Cloudy,35.4,0.795,16.52,car,50.0,1.0,50.0,0,400,137,263,278,113,0.7715
Pune,Hadapsar,amanora_mall,Thursday,10.28,0,0,Cloudy,28.5,0.854,6.97,motorcycle,50.0,1.5,75.0,0,800,727,73,116,20,0.1397
Pune,Kharadi,eon_it_park,Sunday,14.17,1,0,Cloudy,34.5,0.445,23.65,motorcycle,50.0,0.8,40.0,0,350,93,257,265,81,0.8702
Pune,Hadapsar,amanora_mall,Tuesday,7.95,0,0,Clear,19.6,0.324,21.93,bicycle,50.0,0.8,40.0,0,800,212,588,603,116,0.8317
Pune,Magarpatta,seasons_mall,Tuesday,6.18,0,0,Cloudy,25.4,0.346,20.36,car,50.0,0.8,40.0,0,600,42,558,563,227,0.8334
Pune,Hadapsar,amanora_mall,Tuesday,17.32,0,0,Clear,25.4,0.677,8.54,scooter,50.0,1.0,50.0,0,800,348,452,491,121,0.6533
Pune,Hadapsar,amanora_mall,Sunday,9.93,1,0,Cloudy,15.5,0.839,8.97,scooter,50.0,1.0,50.0,0,800,346,454,475,190,0.6038
Pune,Kharadi,eon_it_park,Friday,6.55,0,0,Clear,31.2,0.1,16.77,car,50.0,0.8,40.0,0,350,103,247,259,59,0.7329
Pune,Kharadi,kharadi_it_park,Saturday,15.58,1,0,Cloudy,23.8,0.761,15.58,car,50.0,0.8,40.0,0,400,113,287,295,80,0.6695
Pune,Kharadi,eon_it_park,Sunday,20.47,1,0,Cloudy,38.5,0.484,18.53,motorcycle,50.0,0.8,40.0,0,350,42,308,312,54,0.9568
Pune,Kharadi,pict_campus,Tuesday,13.85,0,0,Clear,23.7,0.59,21.32,car,50.0,1.5,75.0,0,500,432,68,97,24,0.2109
Pune,Kharadi,pict_campus,Saturday,6.95,1,0,Cloudy,23.3,0.322,17.55,motorcycle,50.0,0.8,40.0,0,500,83,417,422,79,0.8232
Pune,Kharadi,eon_it_park,Friday,16.8,0,0,Cloudy,30.6,0.619,22.48,scooter,50.0,1.5,75.0,0,350,298,52,74,17,0.1418
Pune,Magarpatta,seasons_mall,Thursday,13.28,0,0,Clear,24.1,0.528,13.73,car,50.0,1.2,60.0,0,600,383,217,263,36,0.3484
Pune,Kharadi,kharadi_it_park,Friday,7.22,0,0,Clear,39.6,0.406,9.82,car,50.0,0.8,40.0,0,400,116,284,299,123,0.6351
Pune,Kharadi,kharadi_it_park,Saturday,13.52,1,0,Cloudy,24.2,0.534,17.14,motorcycle,50.0,1.0,50.0,0,400,150,250,259,84,0.6543
Pune,Hadapsar,amanora_mall,Wednesday,6.08,0,0,Cloudy,25.5,0.104,8.52,motorcycle,50.0,0.8,40.0,0,800,204,596,611,259,0.6436
Pune,Magarpatta,seasons_mall,Friday,6.78,0,0,Clear,36.1,0.312,16.47,scooter,50.0,0.8,40.0,0,600,53,547,549,107,0.8593
Pune,Magarpatta,seasons_mall,Wednesday,12.48,0,0,Rainy,28.8,1.0,18.1,scooter,50.0,1.44,72.0,0,600,409,191,235,81,0.1954
Pune,Kharadi,eon_it_park,Saturday,18.75,1,0,Clear,16.3,0.909,21.33,motorcycle,50.0,1.0,50.0,0,350,117,233,248,59,0.8021
Pune,Kharadi,kharadi_it_park,Sunday,16.0,1,0,Rainy,27.5,0.845,22.34,motorcycle,50.0,1.2,60.0,0,400,158,242,258,83,0.4781
Pune,Kharadi,eon_it_park,Friday,20.45,0,0,Cloudy,30.5,0.198,23.4,car,50.0,0.8,40.0,0,350,96,254,264,89,0.7266
Pune,Magarpatta,seasons_mall,Wednesday,11.52,0,0,Cloudy,24.2,0.638,22.06,motorcycle,50.0,1.0,50.0,0,600,322,278,301,75,0.5397
Pune,Kharadi,pict_campus,Thursday,21.47,0,0,Cloudy,28.8,0.277,8.0,motorcycle,50.0,0.8,40.0,0,500,108,392,401,146,0.723
Pune,Hadapsar,amanora_mall,Thursday,15.27,0,0,Cloudy,21.8,0.614,19.17,car,50.0,1.2,60.0,0,800,573,227,297,100,0.3483
Pune,Hadapsar,amanora_mall,Thursday,12.3,0,0,Cloudy,25.2,0.614,7.22,bicycle,50.0,1.2,60.0,0,800,607,193,231,79,0.1287
Pune,Magarpatta,seasons_mall,Saturday,15.5,1,0,Rainy,31.7,0.801,21.61,car,50.0,1.56,78.0,1,600,258,342,369,121,0.4763
Pune,Kharadi,kharadi_it_park,Wednesday,8.25,0,0,Clear,31.6,0.752,22.76,car,50.0,1.5,75.0,0,400,392,8,49,1,0.0402
Pune,Hadapsar,amanora_mall,Tuesday,12.27,0,0,Rainy,25.4,0.73,0.57,motorcycle,50.0,1.44,72.0,0,800,519,281,318,101,0.3643
Pune,Kharadi,eon_it_park,Wednesday,13.98,0,0,Clear,20.5,0.618,16.37,scooter,50.0,1.5,75.0,0,350,284,66,84,15,0.165
Pune,Magarpatta,seasons_mall,Monday,20.12,0,0,Cloudy,34.1,0.3,12.6,car,50.0,1.04,52.0,1,600,126,474,484,106,0.65
Pune,Magarpatta,seasons_mall,Monday,6.8,0,0,Rainy,30.1,0.37,13.21,motorcycle,50.0,0.96,48.0,0,600,167,433,448,170,0.7296
Pune,Hadapsar,amanora_mall,Friday,16.33,0,0,Cloudy,20.4,0.598,16.73,motorcycle,50.0,1.2,60.0,0,800,501,299,328,67,0.2909
Pune,Kharadi,kharadi_it_park,Monday,6.7,0,0,Cloudy,24.4,0.207,15.75,motorcycle,50.0,0.8,40.0,0,400,60,340,344,64,0.7354
Pune,Kharadi,eon_it_park,Saturday,9.02,1,0,Clear,37.1,0.724,0.84,motorcycle,50.0,1.0,50.0,0,350,141,209,217,90,0.5995
Pune,Kharadi,kharadi_it_park,Thursday,22.75,0,0,Cloudy,23.7,0.221,9.9,scooter,50.0,1.0,50.0,0,400,126,274,291,63,0.7097
Pune,Magarpatta,seasons_mall,Monday,14.87,0,1,Cloudy,30.9,0.579,12.37,car,50.0,0.8,40.0,0,600,57,543,551,223,0.98
Pune,Kharadi,pict_campus,Sunday,13.9,1,0,Cloudy,24.7,0.682,20.38,car,50.0,1.0,50.0,0,500,200,300,329,89,0.5992
Pune,Kharadi,kharadi_it_park,Tuesday,16.92,0,0,Rainy,28.2,0.883,18.2,motorcycle,50.0,1.8,90.0,0,400,392,8,46,3,0.02
Pune,Kharadi,eon_it_park,Sunday,8.9,1,0,Cloudy,34.3,0.851,22.24,motorcycle,50.0,1.0,50.0,0,350,155,195,206,69,0.5383
Pune,Kharadi,pict_campus,Monday,19.1,0,0,Cloudy,27.8,0.72,1.21,car,50.0,1.56,78.0,1,500,363,137,170,30,0.3178
Pune,Kharadi,kharadi_it_park,Tuesday,11.18,0,0,Rainy,28.0,0.933,6.19,motorcycle,50.0,1.8,90.0,0,400,392,8,62,2,0.02
Pune,Magarpatta,seasons_mall,Friday,20.37,0,0,Cloudy,36.7,0.283,7.9,bicycle,50.0,0.8,40.0,0,600,42,558,561,143,0.8689
Pune,Kharadi,pict_campus,Monday,18.28,0,1,Cloudy,25.8,0.961,19.51,car,50.0,0.8,40.0,0,500,27,473,474,106,0.964
Pune,Kharadi,pict_campus,Thursday,10.67,0,0,Cloudy,31.8,0.613,9.44,car,50.0,1.5,75.0,0,500,472,28,71,5,0.02
Pune,Hadapsar,amanora_mall,Wednesday,22.53,0,0,Cloudy,26.9,0.378,24.2,car,50.0,0.8,40.0,0,800,192,608,626,104,0.8415
Pune,Magarpatta,seasons_mall,Saturday,18.9,1,0,Clear,31.9,0.606,13.65,motorcycle,50.0,0.8,40.0,0,600,116,484,496,192,0.98
Pune,Kharadi,eon_it_park,Monday,21.02,0,0,Cloudy,31.3,0.1,2.05,scooter,50.0,0.8,40.0,0,350,64,286,291,54,0.8733
Pune,Kharadi,eon_it_park,Sunday,9.1,1,0,Clear,31.6,0.748,23.76,motorcycle,50.0,1.0,50.0,0,350,153,197,215,81,0.3624
Pune,Magarpatta,seasons_mall,Sunday,19.28,1,1,Rainy,27.5,1.0,21.46,car,50.0,0.96,48.0,0,600,30,570,574,146,0.98
Pune,Kharadi,eon_it_park,Saturday,20.08,1,0,Clear,25.9,0.233,24.73,scooter,50.0,0.8,40.0,0,350,54,296,301,96,0.9241
Pune,Hadapsar,amanora_mall,Thursday,6.28,0,0,Rainy,28.3,0.619,3.19,scooter,50.0,0.96,48.0,0,800,150,650,669,212,0.8827
Pune,Kharadi,pict_campus,Wednesday,19.55,0,0,Cloudy,32.6,0.745,15.04,motorcycle,50.0,1.0,50.0,0,500,291,209,244,88,0.5765
Pune,Kharadi,kharadi_it_park,Sunday,6.05,1,0,Cloudy,30.3,0.196,22.79,car,50.0,1.04,52.0,1,400,66,334,337,77,0.8198
Pune,Kharadi,kharadi_it_park,Wednesday,18.63,0,0,Cloudy,21.5,0.881,21.39,motorcycle,50.0,1.2,60.0,0,400,273,127,146,36,0.4642
Pune,Magarpatta,seasons_mall,Tuesday,18.43,0,0,Cloudy,30.3,0.702,23.86,motorcycle,50.0,1.0,50.0,0,600,190,410,421,114,0.82
Pune,Kharadi,eon_it_park,Sunday,7.62,1,0,Cloudy,36.4,0.264,21.9,scooter,50.0,0.8,40.0,0,350,60,290,293,68,0.9458
Pune,Hadapsar,amanora_mall,Monday,12.15,0,0,Rainy,26.8,0.923,3.31,car,50.0,1.8,90.0,0,800,679,121,193,46,0.0977
Pune,Magarpatta,seasons_mall,Wednesday,6.63,0,0,Rainy,25.4,0.581,8.07,car,50.0,1.56,78.0,1,600,206,394,415,106,0.6161
Pune,Kharadi,kharadi_it_park,Wednesday,8.78,0,0,Cloudy,20.9,0.663,8.14,car,50.0,1.5,75.0,0,400,392,8,62,1,0.0551
Pune,Kharadi,kharadi_it_park,Saturday,14.47,1,0,Cloudy,32.0,0.486,13.05,car,50.0,1.0,50.0,0,400,167,233,251,71,0.6642
Pune,Hadapsar,amanora_mall,Thursday,7.0,0,0,Rainy,30.1,0.516,3.44,motorcycle,50.0,0.96,48.0,0,800,113,687,698,150,0.8077
Pune,Kharadi,pict_campus,Friday,8.42,0,0,Cloudy,15.2,0.968,21.62,motorcycle,50.0,1.5,75.0,0,500,490,10,54,1,0.02
Pune,Magarpatta,seasons_mall,Tuesday,20.88,0,0,Rainy,27.5,0.442,11.17,motorcycle,50.0,1.56,78.0,1,600,206,394,419,85,0.783
Pune,Magarpatta,seasons_mall,Thursday,9.55,0,0,Cloudy,30.9,0.928,20.47,car,50.0,1.2,60.0,0,600,383,217,259,82,0.3574
Pune,Kharadi,eon_it_park,Saturday,21.48,1,0,Cloudy,30.2,0.353,16.25,bicycle,50.0,0.8,40.0,0,350,64,286,291,80,0.7764
Pune,Magarpatta,seasons_mall,Monday,7.37,0,0,Cloudy,26.8,0.123,20.88,car,50.0,0.8,40.0,0,600,132,468,482,141,0.7626
Pune,Hadapsar,amanora_mall,Sunday,20.97,1,0,Cloudy,22.9,0.301,23.96,motorcycle,50.0,0.8,40.0,0,800,111,689,705,120,0.98
Pune,Kharadi,eon_it_park,Wednesday,20.47,0,0,Clear,19.7,0.467,9.99,scooter,50.0,0.8,40.0,0,350,47,303,308,75,0.8471
Pune,Kharadi,eon_it_park,Wednesday,15.27,0,0,Clear,19.3,0.633,3.96,car,50.0,1.5,75.0,0,350,328,22,51,7,0.1174
Pune,Kharadi,eon_it_park,Sunday,16.87,1,0,Clear,23.4,0.569,9.36,car,50.0,1.0,50.0,0,350,105,245,260,72,0.8059
Pune,Kharadi,eon_it_park,Tuesday,15.9,0,0,Clear,36.3,0.751,15.64,motorcycle,50.0,1.5,75.0,0,350,292,58,92,19,0.0975
Pune,Hadapsar,amanora_mall,Tuesday,19.38,0,0,Cloudy,22.9,0.901,19.7,car,50.0,1.0,50.0,0,800,458,342,400,144,0.4734
Pune,Kharadi,kharadi_it_park,Wednesday,20.48,0,0,Cloudy,31.7,0.427,20.13,car,50.0,0.8,40.0,0,400,107,293,307,92,0.628
Pune,Magarpatta,seasons_mall,Monday,15.08,0,0,Cloudy,40.4,0.459,11.22,scooter,50.0,1.0,50.0,0,600,354,246,276,38,0.4092
Pune,Kharadi,pict_campus,Wednesday,18.08,0,0,Cloudy,31.4,0.936,16.42,scooter,50.0,1.0,50.0,0,500,258,242,276,86,0.521
Pune,Magarpatta,seasons_mall,Thursday,6.95,0,0,Clear,39.2,0.22,18.32,motorcycle,50.0,0.8,40.0,0,600,64,536,541,88,0.8042
Pune,Kharadi,kharadi_it_park,Saturday,8.12,1,0,Clear,35.7,0.83,18.1,car,50.0,1.56,78.0,1,400,257,143,170,29,0.2504
Pune,Kharadi,eon_it_park,Friday,8.55,0,0,Clear,20.1,0.788,16.07,bicycle,50.0,1.5,75.0,0,350,333,17,59,4,0.02
Pune,Kharadi,eon_it_park,Sunday,16.13,1,1,Cloudy,30.5,0.47,19.59,motorcycle,50.0,0.8,40.0,0,350,34,316,320,53,0.9143
Pune,Kharadi,pict_campus,Saturday,12.03,1,0,Cloudy,34.0,0.606,24.73,motorcycle,50.0,1.0,50.0,0,500,193,307,320,78,0.5036
Pune,Kharadi,kharadi_it_park,Wednesday,14.12,0,0,Cloudy,24.7,0.758,9.97,bicycle,50.0,1.5,75.0,0,400,383,17,71,5,0.02
Pune,Hadapsar,amanora_mall,Wednesday,19.63,0,0,Cloudy,30.5,0.632,16.69,car,50.0,1.0,50.0,0,800,372,428,472,109,0.5238
Pune,Kharadi,pict_campus,Thursday,19.28,0,0,Clear,23.7,0.762,13.07,scooter,50.0,1.0,50.0,0,500,233,267,298,94,0.7459
Pune,Kharadi,eon_it_park,Wednesday,17.38,0,0,Rainy,28.8,1.0,23.75,car,50.0,1.44,72.0,0,350,257,93,119,25,0.4403
Pune,Kharadi,eon_it_park,Thursday,6.78,0,0,Cloudy,40.5,0.1,19.49,scooter,50.0,0.8,40.0,0,350,86,264,274,118,0.8619
Pune,Kharadi,kharadi_it_park,Friday,20.18,0,0,Clear,38.8,0.487,24.67,motorcycle,50.0,0.8,40.0,0,400,99,301,308,72,0.6871
Pune,Hadapsar,amanora_mall,Wednesday,11.83,0,0,Clear,27.8,0.717,6.3,motorcycle,50.0,1.2,60.0,0,800,587,213,269,94,0.1503
Pune,Kharadi,kharadi_it_park,Thursday,15.42,0,0,Cloudy,38.1,0.729,2.31,bicycle,50.0,1.5,75.0,0,400,379,21,65,5,0.02
Pune,Kharadi,kharadi_it_park,Thursday,11.82,0,0,Clear,32.5,0.607,7.95,car,50.0,1.5,75.0,0,400,362,38,90,11,0.2212
Pune,Kharadi,eon_it_park,Friday,14.13,0,0,Rainy,28.0,0.767,23.57,car,50.0,1.8,90.0,0,350,343,7,44,2,0.02
Pune,Kharadi,eon_it_park,Monday,8.03,0,0,Cloudy,23.5,0.907,10.71,motorcycle,50.0,1.5,75.0,0,350,343,7,34,3,0.02
Pune,Kharadi,pict_campus,Monday,18.32,0,0,Clear,20.7,0.794,5.5,motorcycle,50.0,1.2,60.0,0,500,301,199,236,81,0.6071
Pune,Hadapsar,amanora_mall,Monday,22.58,0,0,Cloudy,16.6,0.18,3.95,car,50.0,0.8,40.0,0,800,202,598,616,262,0.6531
Pune,Kharadi,kharadi_it_park,Wednesday,16.2,0,0,Cloudy,28.0,0.523,1.07,scooter,50.0,1.5,75.0,0,400,382,18,45,4,0.0442
Pune,Kharadi,pict_campus,Thursday,21.3,0,0,Cloudy,22.0,0.106,9.46,motorcycle,50.0,1.04,52.0,1,500,112,388,399,100,0.8089
Pune,Kharadi,eon_it_park,Saturday,14.87,1,0,Clear,27.2,0.439,9.64,bicycle,50.0,1.0,50.0,0,350,116,234,241,77,0.8048
Pune,Kharadi,kharadi_it_park,Thursday,10.75,0,0,Cloudy,16.9,0.957,3.92,scooter,50.0,1.5,75.0,0,400,392,8,51,3,0.02
Pune,Kharadi,kharadi_it_park,Wednesday,21.75,0,0,Rainy,26.9,0.57,24.51,motorcycle,50.0,1.2,60.0,0,400,133,267,282,42,0.5268
Pune,Kharadi,kharadi_it_park,Thursday,13.77,0,0,Rainy,28.2,0.988,19.48,car,50.0,1.8,90.0,0,400,392,8,50,2,0.0377
Pune,Kharadi,kharadi_it_park,Monday,10.43,0,0,Cloudy,39.8,0.894,2.03,car,50.0,1.5,75.0,0,400,392,8,53,2,0.02
Pune,Magarpatta,seasons_mall,Saturday,16.57,1,0,Cloudy,25.5,0.499,14.17,car,50.0,0.8,40.0,0,600,119,481,490,102,0.8554
Pune,Kharadi,eon_it_park,Sunday,14.3,1,0,Cloudy,26.6,0.558,8.96,scooter,50.0,0.8,40.0,0,350,93,257,270,44,0.6848
Pune,Magarpatta,seasons_mall,Sunday,12.2,1,0,Cloudy,27.3,0.646,14.88,car,50.0,0.8,40.0,0,600,147,453,469,75,0.6886
Pune,Hadapsar,amanora_mall,Thursday,10.0,0,0,Cloudy,36.1,0.952,12.15,motorcycle,50.0,1.2,60.0,0,800,637,163,213,27,0.0569
Pune,Kharadi,kharadi_it_park,Saturday,7.97,1,0,Rainy,31.5,0.415,20.99,scooter,50.0,0.96,48.0,0,400,66,334,343,79,0.8955
Pune,Magarpatta,seasons_mall,Monday,9.98,0,0,Cloudy,31.9,0.817,12.6,scooter,50.0,1.2,60.0,0,600,416,184,212,33,0.2187
Pune,Magarpatta,seasons_mall,Thursday,11.0,0,0,Rainy,25.4,1.0,22.48,scooter,50.0,1.44,72.0,0,600,382,218,262,44,0.4156
Pune,Kharadi,kharadi_it_park,Tuesday,6.27,0,0,Cloudy,31.6,0.121,18.21,car,50.0,0.8,40.0,0,400,111,289,295,53,0.7498
Pune,Magarpatta,seasons_mall,Wednesday,15.73,0,0,Cloudy,35.4,0.488,3.77,car,50.0,1.2,60.0,0,600,372,228,262,71,0.3676
Pune,Kharadi,eon_it_park,Monday,12.8,0,0,Clear,27.9,0.611,9.36,scooter,50.0,1.5,75.0,0,350,338,12,59,2,0.1349
Pune,Kharadi,eon_it_park,Sunday,20.12,1,0,Cloudy,24.7,0.304,20.31,motorcycle,50.0,0.8,40.0,0,350,28,322,323,92,0.8517
Pune,Hadapsar,amanora_mall,Saturday,14.87,1,1,Clear,15.6,0.538,2.06,bicycle,50.0,0.8,40.0,0,800,40,760,765,121,0.8693
Pune,Kharadi,kharadi_it_park,Friday,19.38,0,0,Cloudy,33.0,0.963,9.7,motorcycle,50.0,1.2,60.0,0,400,259,141,170,35,0.441
Pune,Kharadi,pict_campus,Tuesday,10.77,0,0,Rainy,31.8,1.0,18.12,motorcycle,50.0,1.8,90.0,0,500,490,10,57,1,0.02
Pune,Kharadi,eon_it_park,Wednesday,7.85,0,0,Clear,29.1,0.127,15.05,motorcycle,50.0,0.8,40.0,0,350,104,246,253,40,0.6886
Pune,Hadapsar,amanora_mall,Monday,10.53,0,0,Cloudy,22.5,0.909,20.55,car,50.0,1.5,75.0,0,800,749,51,127,13,0.02
Pune,Kharadi,eon_it_park,Wednesday,11.67,0,0,Cloudy,24.4,0.538,16.26,car,50.0,1.5,75.0,0,350,328,22,51,5,0.0494
Pune,Hadapsar,amanora_mall,Monday,13.32,0,0,Cloudy,31.3,0.625,24.21,motorcycle,50.0,1.2,60.0,0,800,534,266,303,91,0.2273
Pune,Kharadi,eon_it_park,Wednesday,12.05,0,0,Clear,39.9,0.475,19.16,scooter,50.0,1.5,75.0,0,350,313,37,79,9,0.2495
Pune,Kharadi,kharadi_it_park,Friday,9.78,0,0,Rainy,29.6,1.0,10.22,car,50.0,1.8,90.0,0,400,392,8,45,2,0.02
Pune,Kharadi,kharadi_it_park,Friday,20.1,0,0,Cloudy,40.5,0.248,10.64,motorcycle,50.0,0.8,40.0,0,400,67,333,338,143,0.8555
Pune,Kharadi,eon_it_park,Tuesday,12.35,0,0,Rainy,28.0,0.962,17.28,car,50.0,1.8,90.0,0,350,343,7,46,2,0.02
Pune,Hadapsar,amanora_mall,Friday,10.77,0,0,Rainy,28.2,1.0,2.32,scooter,50.0,2.34,117.0,1,800,784,16,65,5,0.0247
Pune,Kharadi,eon_it_park,Saturday,22.48,1,0,Cloudy,29.3,0.1,13.54,motorcycle,50.0,1.04,52.0,1,350,62,288,294,67,0.7612
Pune,Kharadi,eon_it_park,Saturday,11.1,1,0,Clear,29.1,0.648,6.68,car,50.0,0.8,40.0,0,350,96,254,268,73,0.665
Pune,Kharadi,pict_campus,Saturday,8.68,1,0,Clear,26.1,0.751,12.16,motorcycle,50.0,1.0,50.0,0,500,154,346,366,118,0.4483
Pune,Hadapsar,amanora_mall,Saturday,22.97,1,1,Cloudy,29.6,0.37,17.27,car,50.0,0.8,40.0,0,800,40,760,762,307,0.98
Pune,Hadapsar,amanora_mall,Sunday,18.98,1,0,Clear,34.6,0.94,17.09,motorcycle,50.0,0.8,40.0,0,800,191,609,633,217,0.7864
Pune,Kharadi,pict_campus,Thursday,7.1,0,0,Cloudy,22.9,0.346,15.09,bicycle,50.0,0.8,40.0,0,500,118,382,397,108,0.7473
Pune,Kharadi,kharadi_it_park,Saturday,19.18,1,0,Clear,25.0,0.718,6.54,car,50.0,0.8,40.0,0,400,92,308,319,60,0.9098
Pune,Magarpatta,seasons_mall,Tuesday,6.32,0,0,Clear,27.3,0.1,11.5,motorcycle,50.0,0.8,40.0,0,600,33,567,569,100,0.98
Pune,Kharadi,pict_campus,Tuesday,6.3,0,0,Clear,22.4,0.1,9.83,car,50.0,0.8,40.0,0,500,104,396,401,111,0.7961
Pune,Kharadi,kharadi_it_park,Monday,17.27,0,0,Clear,32.8,0.654,0.67,car,50.0,1.0,50.0,0,400,220,180,209,50,0.451
Pune,Hadapsar,amanora_mall,Monday,10.32,0,0,Cloudy,24.7,0.986,24.23,car,50.0,1.5,75.0,0,800,670,130,202,28,0.02
Pune,Hadapsar,amanora_mall,Wednesday,17.12,0,0,Clear,23.9,0.82,23.85,motorcycle,50.0,1.0,50.0,0,800,374,426,455,152,0.5436
Pune,Hadapsar,amanora_mall,Friday,21.13,0,0,Cloudy,23.6,0.286,19.83,car,50.0,0.8,40.0,0,800,140,660,672,199,0.7666
Pune,Kharadi,eon_it_park,Wednesday,7.83,0,0,Rainy,24.9,0.499,16.79,car,50.0,0.96,48.0,0,350,98,252,263,86,0.7679
Pune,Hadapsar,amanora_mall,Saturday,9.0,1,0,Clear,32.6,0.756,19.42,motorcycle,50.0,1.0,50.0,0,800,243,557,569,101,0.4565
Pune,Kharadi,kharadi_it_park,Saturday,10.37,1,0,Clear,33.9,0.739,2.89,scooter,50.0,1.0,50.0,0,400,144,256,263,92,0.5856
Pune,Hadapsar,amanora_mall,Saturday,11.98,1,0,Clear,34.4,0.532,10.95,motorcycle,50.0,1.0,50.0,0,800,251,549,566,190,0.6148
Pune,Kharadi,pict_campus,Saturday,20.62,1,0,Rainy,25.6,0.701,20.31,car,50.0,0.96,48.0,0,500,87,413,418,102,0.8961
Pune,Kharadi,kharadi_it_park,Thursday,22.67,0,0,Cloudy,35.0,0.139,21.22,motorcycle,50.0,0.8,40.0,0,400,112,288,296,96,0.8286
Pune,Magarpatta,seasons_mall,Monday,13.32,0,0,Clear,33.7,0.567,3.88,car,50.0,1.2,60.0,0,600,376,224,268,76,0.3564
Pune,Kharadi,kharadi_it_park,Thursday,15.13,0,0,Clear,39.7,0.781,12.37,car,50.0,1.5,75.0,0,400,388,12,56,3,0.02
Pune,Kharadi,pict_campus,Saturday,21.17,1,0,Clear,30.0,0.11,13.67,car,50.0,0.8,40.0,0,500,66,434,442,136,0.98
Pune,Kharadi,pict_campus,Wednesday,17.57,0,0,Cloudy,28.4,0.996,3.01,scooter,50.0,1.0,50.0,0,500,259,241,279,68,0.4854
Pune,Hadapsar,amanora_mall,Monday,9.82,0,0,Cloudy,39.6,0.844,10.99,motorcycle,50.0,1.5,75.0,0,800,722,78,172,25,0.02
Pune,Kharadi,eon_it_park,Thursday,16.75,0,0,Cloudy,31.6,0.606,22.55,scooter,50.0,1.5,75.0,0,350,332,18,48,3,0.02
Pune,Magarpatta,seasons_mall,Thursday,10.25,0,0,Clear,24.9,0.87,12.49,motorcycle,50.0,1.2,60.0,0,600,409,191,229,64,0.3392
Pune,Magarpatta,seasons_mall,Tuesday,14.73,0,0,Cloudy,31.6,0.531,0.56,scooter,50.0,1.0,50.0,0,600,279,321,347,112,0.6648
Pune,Hadapsar,amanora_mall,Monday,18.22,0,0,Cloudy,26.1,0.931,8.78,motorcycle,50.0,1.0,50.0,0,800,381,419,451,148,0.7431
Pune,Hadapsar,amanora_mall,Monday,6.12,0,0,Cloudy,32.8,0.397,10.98,bicycle,50.0,0.8,40.0,0,800,205,595,611,245,0.8656
